entity,ids
Fin Field Effect Transistors ( FinFETs ) .,0
( FinFets ) .,0
( FinFETs ) of,0
"( e . g . , FinFETs ) and",0
FinFet,0
( FINFET ) is,0
"( e . g . , a FinFET ) ,",0
"Fin Field Effect Transistor ( FinFET ) ,",0
"FETs ( FinFETs ) ,",0
"( FINFET ) ,",0
Field - Effect Transistors ( FinFETs ) in,0
"( FINFETs ) ,",0
( FET ) ( FinFET ) that,0
FINFETs .,0
FinFET .,0
( FinFETs ) are,0
( Finfets ) .,0
"( for example , FinFET ) .",0
FINFET,0
( FinFET ) were,0
( FinFETs ) may,0
finFET,0
Field - Effect Transistors ( FinFETs ) .,0
Fin Field - Effect Transistor ( FinFET ) ;,0
( Fin FET ) .,0
( FinFETs ) .,0
( FinFETs ) and,0
FinFET is,0
finFETs .,0
( FinFET ) with,0
FETs ( FinFETs ) .,0
"( e . g . , FinFET ) .",0
Effect Transistor ( FinFET ) .,0
"( i . e . , a FinFET ) .",0
fin - Field Effect Transistor ( finFET ) is,0
( FinFETs ) or,0
( FINFETs ) and,0
( FINFET ) .,0
"( FinFETs ) ,",0
"( FinFET ) ,",0
"Fin Field Effect Transistors ( FinFETs ) ,",0
Fin Field - Effect Transistors ( FinFETs ) is,0
"( e . g . , FinFETs ) ,",0
( FinFETs ) is,0
FINFET .,0
( FinFETs ) on,0
Fin Field - Effect Transistors ( FinFETs ) have,0
"( e . g . , FinFETs ) that",0
finFETs,0
Fin Field Effect Transistor ( FinFET ) .,0
Finfet,0
FinFETs .,0
Fin FET,0
FINFETS,0
Field Effect Transistor ( FinFET ) according,0
FinFETS .,0
( FINFET ) can,0
"( e . g . , FinFET ) and",0
Fin Field - Effect Transistors ( FinFETs ) in,0
( FinFETs ) in,0
"Fin Field - Effect Transistors ( FinFETs ) ,",0
Fin FET .,0
Field - Effect Transistors ( FETs ) ( FinFETs ) in,0
( FinFET ) .,0
( Fin FET ) and,0
FINFETs,0
Finfets,0
( FinFETs ) can,0
"( e . g . , FinFETs ) are",0
FinFET,0
Field - Effect Transistors ( FinFETs ) or,0
Fin Field - Effect Transistor ( FinFET ) in,0
Fin Field - Effect Transistor ( FET ) ( FinFET ) that,0
"Fin Field - Effect Transistor ( FinFET ) ,",0
"( e . g . , FinFETs ) can",0
Fin Field Effect Transistor ( FinFET ) is,0
"( e . g . , a FinFET ) .",0
FinFETs,0
"( e . g . , FinFETs ) in",0
FINFet,0
"FinFET ,",0
Fin FETs,0
FinFETS,0
Si,1
( Si ),1
ILDs,2
ILD .,2
ILD,2
Interlayer Dielectric ( ILD ) /,2
"Inter - Layer Dielectric ( ILD ) ,",2
Inter - Layer Dielectrics,2
CMP ( Chemical Mechanical Polishing ) method,3
"( e . g . , CMP ) on",3
Chemical - Mechanical Polishing ( CMP ) may,3
Chemical Mechanical Polish ( CMP ) is,3
( CMP ) at,3
Chemical Mechanical Polish ( CMP ) or,3
"( e . g . , CMP ) can",3
( CMP ) may,3
( CMP ) and,3
( CMP ) are,3
Chemical Mechanical Polishing ( CMP ) is,3
CMP ( Chemical Mechanical Polishing ) .,3
( CMP ) a,3
Chemical - Mechanical Process ( CMP ) to,3
( CMP ) to,3
"( e . g . , CMP ) .",3
CMP is,3
( CMP ) in,3
"( e . g . , CMP ) is",3
Chemical Mechanical Polish ( CMP ) may,3
